date,region,nptp,ebit,ncf,capex,rpk,,,
2015-Q3,North America,6972,0.176,0.15,0.1,0.057,,,
2015-Q4,North America,4651,0.146,0.095,0.148,0.053333333,,,
2016-Q1,North America,4214,0.14,0.213,0.148,0.046666667,,,
2016-Q2,North America,5300,0.155,0.243,0.139,0.029,,,
2016-Q3,North America,5232,0.152,0.14,0.093,0.028,,,
2016-Q4,North America,1994,0.107,0.087,0.145,0.027333333,,,
2017-Q1,North America,2057,0.077,0.149,0.153,0.022666667,,,
2017-Q2,North America,6313,0.14,0.173,0.125,0.051,,,
2017-Q3,North America,5484,0.128,0.105,0.119,0.036,,,
2017-Q4,North America,4174,0.097,0.102,0.136,0.047,,,
2018-Q1,North America,3158,0.064,0.192,0.124,0.054666667,,,
2018-Q2,North America,3741,0.108,0.198,0.114,0.048333333,,,
2018-Q3,North America,4716,0.101,0.095,0.091,0.051666667,,,
2018-Q4,North America,2777,0.095,0.116,0.135,0.045333333,,,
2019-Q1,North America,2890,0.066,0.225,0.136,0.043,,,
2019-Q2,North America,5512,0.122,0.173,0.104,0.041,,,
2019-Q3,North America,5433,0.117,0.124,0.088,0.030333333,,,
2019-Q4,North America,3423,0.1,0.096,0.113,0.043666667,,,
2020-Q1,North America,-6064,-0.086,0.01,0.146,-0.145666667,,,
2020-Q2,North America,-11682,-0.77,-0.231,0.187,-0.917,,,
2020-Q3,North America,-10975,-0.43,-0.688,0.206,-0.772333333,,,
2020-Q4,North America,-7978,-0.57,-0.474,0.161,-0.677666667,,,
2021-Q1,North America,-5371,-0.73,0.119,0.157,-0.491333333,,,
2015-Q3,Asia-Pacific,584,0.081,0.135,0.187,0.08,,,
2015-Q4,Asia-Pacific,2686,0.085,0.182,0.215,0.083,,,
2016-Q1,Asia-Pacific,1089,0.08,0.278,0.255,0.087333333,,,
2016-Q2,Asia-Pacific,2324,0.074,0.225,0.269,0.080666667,,,
2016-Q3,Asia-Pacific,2092,0.107,0.138,0.143,0.091666667,,,
2016-Q4,Asia-Pacific,2379,0.129,0.161,0.272,0.098666667,,,
2017-Q1,Asia-Pacific,2390,0.066,0.164,0.144,0.1,,,
2017-Q2,Asia-Pacific,1421,0.05,0.135,0.18,0.111666667,,,
2017-Q3,Asia-Pacific,2353,0.114,0.164,0.133,0.087333333,,,
2017-Q4,Asia-Pacific,3051,0.076,0.121,0.155,0.104666667,,,
2018-Q1,Asia-Pacific,964,0.039,0.113,0.121,0.092666667,,,
2018-Q2,Asia-Pacific,544,0.033,0.151,0.146,0.099666667,,,
2018-Q3,Asia-Pacific,1513,0.08,0.126,0.127,0.080666667,,,
2018-Q4,Asia-Pacific,919,0.047,0.059,0.148,0.067666667,,,
2019-Q1,Asia-Pacific,2313,0.077,0.15,0.114,0.055333333,,,
2019-Q2,Asia-Pacific,2418,0.083,0.117,0.089,0.043,,,
2019-Q3,Asia-Pacific,485,0.063,0.097,0.112,0.047666667,,,
2019-Q4,Asia-Pacific,1187,0.056,0.16,0.167,0.040666667,,,
2020-Q1,Asia-Pacific,-4044,-0.189,-0.151,0.42,-0.353,,,
2020-Q2,Asia-Pacific,-6585,-0.39,-0.295,0.16,-0.820333333,,,
2020-Q3,Asia-Pacific,-5647,-0.41,-0.17,0.046,-0.680333333,,,
2020-Q4,Asia-Pacific,-8721,-0.33,-0.284,0.164,-0.589666667,,,
2021-Q1,Asia-Pacific,-4221,-0.36,-0.092,0.111,-0.387666667,,,
2015-Q3,Europe,5706,0.175,0.067,0.081,0.077,,,
2015-Q4,Europe,907,0.031,0.027,0.112,0.033333333,,,
2016-Q1,Europe,-841,-0.017,0.166,0.153,0.055666667,,,
2016-Q2,Europe,467,0.042,0.122,0.147,0.021333333,,,
2016-Q3,Europe,6449,0.186,0.049,0.083,0.036,,,
2016-Q4,Europe,1330,0.012,0.035,0.111,0.081666667,,,
2017-Q1,Europe,-1174,-0.023,0.204,0.138,0.069666667,,,
2017-Q2,Europe,3820,0.097,0.224,0.093,0.105333333,,,
2017-Q3,Europe,6901,0.202,0.103,0.066,0.075,,,
2017-Q4,Europe,82,0.046,0.089,0.131,0.068,,,
2018-Q1,Europe,158,0.018,0.224,0.16,0.076666667,,,
2018-Q2,Europe,1814,0.091,0.203,0.137,0.057666667,,,
2018-Q3,Europe,6372,0.176,0.064,0.107,0.051666667,,,
2018-Q4,Europe,-304,0.025,0.023,0.147,0.083666667,,,
2019-Q1,Europe,-1699,-0.059,0.16,0.168,0.065666667,,,
2019-Q2,Europe,1771,0.082,0.113,0.104,0.06,,,
2019-Q3,Europe,6076,0.173,0.088,0.096,0.032333333,,,
2019-Q4,Europe,463,0.037,0.061,0.165,0.020333333,,,
2020-Q1,Europe,-8812,-0.169,-0.052,0.27,-0.167333333,,,
2020-Q2,Europe,-8719,-1.13,-0.631,0.2,-0.964333333,,,
2020-Q3,Europe,-8095,-0.45,-0.61,0.145,-0.729666667,,,
2020-Q4,Europe,-7918,-0.48,-0.593,0.028,-0.739666667,,,
2021-Q1,Europe,-6214,-0.57,-0.397,0.147,-0.741666667,,,
2015-Q3,Latin America,-522,0.063,0.022,0.123,0.069,,,
2015-Q4,Latin America,-4562,0.061,0.13,0.18,0.051333333,,,
2016-Q1,Latin America,255,0.097,0.027,0.117,0.053666667,,,
2016-Q2,Latin America,10,0.007,0.07,0.047,0.02,,,
2016-Q3,Latin America,209,0.073,0.08,0.059,0.033666667,,,
2016-Q4,Latin America,102,0.069,0.094,0.086,0.044333333,,,
2017-Q1,Latin America,125,0.063,0.059,0.065,0.050333333,,,
2017-Q2,Latin America,-302,0.044,0.079,0.073,0.086666667,,,
2017-Q3,Latin America,674,0.099,0.139,0.049,0.077,,,
2017-Q4,Latin America,265,0.067,0.092,0.047,0.055666667,,,
2018-Q1,Latin America,247,0.079,0.061,0.07,0.073666667,,,
